Species,Body_mass_kg,Vb_diam_cm
Cheirogaleus_medius,0.275,0.817662721
Eulemur_coronatus,1.601,1.844223521
Eulemur_collaris,2.31,2.134684745
Eulemur_macaco_macaco,2.371,2.094619636
Eulemur_mongoz,1.599,1.736356493
Eulemur_rubriventer,2.232,1.789964732
Lemur_catta,2.431,1.752784682
Microcebus_murinus,0.075,0.592024074
Varecia_variegata_rubra,3.645,2.718426768
Mirza_coquereli,0.255,0.875034012
