Species,Body_mass_kg
Archaeolemur_majori,24.5
Babakotia,16.2
Hadropithecus_stenognathus,16.7
Megaladapis_edwardsi,75.4
Mesopropithecus,10.6
Palaeopropithecus_ingens,52.6
Eulemur_fulvus_fulvus,2.2
Varecia_variegata,3.524
Pachylemur_jullyi,12.8
Pachylemur_insignis,10
